// requires fixed width font and 8 space tabs
// see Ch1308UnicodeNormalization.pdf for final copy but with less complete
// unicode char rendering than provided with Java

char   codepoint  #ASCII chars in decomposition
=====  =========  =============================
 ㎝ 	13213	              2
 ㎞ 	13214	              2
 ㎟ 	13215	              3
 ㎠ 	13216	              3
 ㎡ 	13217	              2
 ㎢ 	13218	              3
 ㎣ 	13219	              3
 ㎤ 	13220	              3
 ㎥ 	13221	              2
 ㎦ 	13222	              3
 ㎩ 	13225	              2
 ㎪ 	13226	              3
 ㎫ 	13227	              3
 ㎬ 	13228	              3
 ㎭ 	13229	              3
 ㎰ 	13232	              2
 ㎱ 	13233	              2
 ㎳ 	13235	              2
 ㎴ 	13236	              2
 ㎵ 	13237	              2
 ㎷ 	13239	              2
 ㎸ 	13240	              2
 ㎹ 	13241	              2
 ㎺ 	13242	              2
 ㎻ 	13243	              2
 ㎽ 	13245	              2
 ㎾ 	13246	              2
 ㎿ 	13247	              2
 ㏂ 	13250	              4
 ㏃ 	13251	              2
 ㏄ 	13252	              2
 ㏅ 	13253	              2
 ㏇ 	13255	              3
 ㏈ 	13256	              2
 ㏉ 	13257	              2
 ㏊ 	13258	              2
 ㏋ 	13259	              2
 ㏌ 	13260	              2
 ㏍ 	13261	              2
 ㏎ 	13262	              2
 ㏏ 	13263	              2
 ㏐ 	13264	              2
 ㏑ 	13265	              2
 ㏒ 	13266	              3
 ㏓ 	13267	              2
 ㏔ 	13268	              2
 ㏕ 	13269	              3
 ㏖ 	13270	              3
 ㏗ 	13271	              2
 ㏘ 	13272	              4
 ㏙ 	13273	              3
 ㏚ 	13274	              2
 ㏛ 	13275	              2
 ㏜ 	13276	              2
 ㏝ 	13277	              2
 ㏿ 	13311	              3
 ﬀ 	64256	              2
 ﬁ 	64257	              2
 ﬂ 	64258	              2
 ﬃ 	64259	              3
 ﬄ 	64260	              3
 ﬅ 	64261	              2
 ﬆ 	64262	              2
 ︙ 	65049	              3
 ︰ 	65072	              2
 🄀 	127232	              2
 🄁 	127233	              2
 🄂 	127234	              2
 🄃 	127235	              2
 🄄 	127236	              2
 🄅 	127237	              2
 🄆 	127238	              2
 🄇 	127239	              2
 🄈 	127240	              2
 🄉 	127241	              2
 🄊 	127242	              2
 🄐 	127248	              3
 🄑 	127249	              3
 🄒 	127250	              3
 🄓 	127251	              3
 🄔 	127252	              3
 🄕 	127253	              3
 🄖 	127254	              3
 🄗 	127255	              3
 🄘 	127256	              3
 🄙 	127257	              3
 🄚 	127258	              3
 🄛 	127259	              3
 🄜 	127260	              3
 🄝 	127261	              3
 🄞 	127262	              3
 🄟 	127263	              3
